timestep,anomaly_score,spike_flag,detection_lag
150,0.07692307978868484,False,
151,0.0,False,
152,0.0,False,
153,0.0,False,
154,0.07894736528396606,False,
155,0.5952380895614624,True,12
156,1.0,True,1
157,0.9750000238418579,False,
158,1.0,False,
159,0.9268292784690857,False,
160,0.8780487775802612,False,
161,0.8292682766914368,False,
162,0.7560975551605225,False,
163,0.6585366129875183,False,
164,0.692307710647583,False,
165,0.9024389982223511,False,
166,0.9523809552192688,False,
167,0.8461538553237915,False,
168,1.0,False,
169,0.925000011920929,False,
170,0.07894736528396606,False,
171,0.0,False,
172,0.0,False,
173,0.4878048896789551,False,
174,1.0,True,18
175,0.7250000238418579,False,
176,0.699999988079071,False,
177,0.7250000238418579,False,
178,0.8717948794364929,False,
179,0.9487179517745972,False,
180,0.07500000298023224,False,
181,0.0,False,
182,0.10256410390138626,True,8
183,0.0,False,
184,0.24390244483947754,True,2
185,0.8048780560493469,True,1
186,0.75,False,
187,0.5249999761581421,False,
188,0.6000000238418579,False,
189,0.699999988079071,False,
190,0.925000011920929,False,
191,0.9230769276618958,False,
192,0.0,False,
0,0.4871794879436493,False,
1,0.17499999701976776,False,
2,0.15000000596046448,False,
3,0.0,False,
4,0.0,False,
5,0.0,False,
6,0.0,False,
