ALTITUDE,RUN_rpt1,TIME,ROLL_STICK,PITCH_STIC,RUDDER_PED
0.0003350000000068,64.0,18.9119995,0.0363593595,-0.000247159335,0.136782485
0.001890000000003,64.0,19.072,0.0753799923333333,0.0,0.1881522833333333
0.0037400000000218,64.0,19.296,0.06445165725,0.0,0.2070446375
0.0057800000000346,64.0,19.519999666666667,0.0125504468666666,0.0,0.1539540566666666
0.0081166666666755,64.0,19.712,0.0,0.0,0.1069495906666666
0.0107833333333549,64.0,19.903999666666667,0.0,0.0,0.1072394086666666
0.0131600000000465,64.0,20.096000333333333,0.0,0.0,0.1244653199999999
0.0153450000000248,64.0,20.32,0.0,0.0,0.094655071
0.0174966666666781,64.0,20.544000333333333,0.0,0.0,0.0037701526666666
0.0195700000000063,64.0,20.736,0.0,0.0,0.0
0.0215866666666973,64.0,20.928,0.0,0.0,0.0017595572
0.0233133333333626,64.0,21.120000333333333,0.0,0.0,0.0
0.0253250000000093,64.0,21.34399975,0.0,0.0,-0.049123854225
0.0275500000000192,64.0,21.568000333333337,-0.0376488473333333,0.0,-0.1340960666666666
0.0293599999999969,64.0,21.759999333333337,-0.1242495533333333,0.0,-0.1663906633333333
0.0311500000000251,64.0,21.952000333333334,-0.1135702566666666,0.0,-0.1657939566666666
0.0332233333333533,64.0,22.143999666666662,-0.0778819596666666,0.0,-0.1668788766666666
0.0360850000000425,64.0,22.368,-0.011863393,0.0,-0.125461872
0.0389199999999997,64.0,22.591999666666663,0.0,0.0,-0.016827965
0.0410766666666783,64.0,22.78399966666667,0.0,0.0,0.0
0.0431099999999939,64.0,22.976000666666664,0.0,0.0,0.0073617209333333
0.045306666666723,64.0,23.167999666666663,0.0,0.0,0.0
0.048092500000024,64.0,23.3920005,-0.04991323775,0.00457714775,-0.06930345625
0.0506200000000186,64.0,23.615999666666667,-0.0906942463333333,0.0046772451333333,-0.0309016377666666
0.0525699999999839,64.0,23.808000000000003,-0.0996127416666666,0.0082117586333333,0.0
0.0549933333333759,64.0,24.0,-0.1017743666666666,0.0012330896666666,0.0
0.0577566666666674,64.0,24.191999999999997,-0.1035351633333333,0.0,0.0001112312133333
0.0608500000000162,64.0,24.416,-0.104003995,0.0,0.0
0.063600000000027,64.0,24.639999666666668,-0.099097386,0.0,0.0
0.0658133333333429,64.0,24.832000333333337,-0.10722854,0.0,0.0
0.0681766666666969,64.0,25.023999333333336,-0.1190673766666666,0.0,-0.02835206472
0.0706366666667008,64.0,25.21600033333333,-0.1070424396666666,0.0,-0.0923445446666666
0.0737300000000402,64.0,25.44,-0.043911504775,0.0,-0.0826209075
0.0770666666666481,64.0,25.664000333333338,0.0,0.0,-0.0305038316666666
0.079873333333353,64.0,25.856000333333338,0.0,0.0,0.0007633162666666
0.082396666666682,64.0,26.047999666666666,0.0,0.0,0.0258193493333333
0.0847766666666984,64.0,26.240000666666663,0.0,0.0,0.0464505939999999
0.0876000000000374,64.0,26.4639995,0.0,0.0,0.07358457525
0.0905966666667078,64.0,26.688000666666667,0.0,0.0,0.0973494533333333
0.093243333333324,64.0,26.879999666666667,0.0,0.0,0.093147126
0.095886666666729,64.0,27.072000000000003,0.0,0.0,0.073856279
0.0984866666666827,64.0,27.264,0.0,0.0,0.0622274293333333
0.101637500000038,64.0,27.48799975,0.0,0.0,0.009105845675
0.1051200000000183,64.0,27.712,0.0,-0.0171312978333333,0.0
0.1090899999999995,64.0,27.903999666666664,0.0,-0.0593990209999999,0.0
0.1148266666666965,64.0,28.096000333333336,0.0,-0.0843767523333333,0.0
0.1196500000000545,64.0,28.288,-0.0768083028666666,-0.006887834,-0.0569217496666666
0.1170050000000344,64.0,28.51200025,-0.180394565,0.0,-0.1501167875
0.1145633333333459,64.0,28.736,-0.17614289,0.0,-0.1855215033333333
0.1200733333333422,64.0,28.927999999999997,-0.1576044433333333,0.0,-0.18228481
0.1288866666667066,64.0,29.120000333333333,-0.1205848083333333,0.0,-0.15780168
0.1349100000000286,64.0,29.311999333333333,-0.0052605786666666,0.0,-0.0386950145533333
0.136870000000016,64.0,29.5360005,0.0,-0.000824826125,0.0001649340275
0.1377333333333581,64.0,29.759999333333337,-0.0852257615999999,0.0,0.0048620618666666
0.1388533333333347,64.0,29.952000333333334,-0.32850174,0.0,0.0
0.1333800000000261,64.0,30.143999666666662,-0.39365114,0.0,0.0
0.1253866666667136,64.0,30.335999666666662,-0.3753990033333333,0.0,0.0
0.1327800000000252,64.0,30.56,-0.16527749875,-0.0034739795,0.06173836425
0.1599133333333308,64.0,30.78399966666667,-0.0297106246666666,-0.0464278173333333,0.1155353733333333
0.1756566666666685,64.0,30.976000666666664,-0.0056109743566666,-0.0567424456666666,0.1249181533333333
0.1741533333333412,64.0,31.167999666666663,0.0,-0.0440235433333333,0.1256608066666666
0.1655066666666774,64.0,31.360000333333332,0.0,0.07341571,0.0897236816666666
0.1485425000000191,64.0,31.584,0.0,0.3294892075,-0.004368170175
0.1243066666666739,64.0,31.808000000000003,0.0,0.3980554933333333,-0.0361273586666666
0.1336866666666765,64.0,32.0,0.0,0.3940628,-0.0084075305333333
0.1988933333333686,64.0,32.192,0.0,0.3883421333333333,-0.0216616946666666
0.2953500000000607,64.0,32.38400033333334,0.0,0.3726593666666666,-0.0625995236666666
0.4134975000000338,64.0,32.607999750000005,0.0,0.3462094225,-0.0784439455
0.5300466666666731,64.0,32.832001,0.0274289811,0.34459272,-0.0144049656666666
0.6323999999999993,64.0,33.023999333333336,0.0632073793333333,0.3520021033333333,0.0
